Processing well TERRY C 01 20: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well TERRY D 01 09: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well TERRY E 01 09: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well TIPPIT A 01 06: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well TOMLINSON B 02 08: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well TOMLINSON C 01 08: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well TOMLINSON D 01 08: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well HINKLE A 01 11 RTP: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well CALLAWAY 3A-23 BEHIND PIPE: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well CONTINENTAL 1-36 BEHIND PIPE: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well REICHMAN 1-30 BEHIND PIPE: DIV_CLOSE_DATE = NaT, is_divested = False
